Pubdate,Artikel_Titel,Teaser,Artikel_URL,Image_URL,Kategorie,Region,Latitude,Longitude
18.08.2014,Hoffnung auf Ende des Gaza-Kriegs schwindet,Kurz vor Ablauf einer Feuerpause am Montagabend haben Israelis und Palästinenser um Bedingungen für eine dauerhafte Gaza-Waffenruhe gerungen. Doch beide Seiten sind sich in Kairo wohl nicht näher gekommen - im Gegenteil.,http://www.dw.de/hoffnung-auf-ende-des-gaza-kriegs-schwindet/a-17859819,"http://www.dw.de/image/0,,17859820_303,00.jpg",Krise,Nahost,31.522561,34.453593
18.08.2014,Gouverneur schickt Nationalgarde nach Ferguson,"Ferguson kommt nicht zur Ruhe: Seit ein weißer Polizist einen schwarzen Teenager erschoss, kommt es in der Stadt im US-Bundesstaat Missouri zu gewaltsamen Ausschreitungen. Jetzt soll die Nationalgarde für Ordnung sorgen.",http://www.dw.de/gouverneur-schickt-nationalgarde-nach-ferguson/a-17860134,"http://www.dw.de/image/0,,17860129_303,00.jpg",Krise,Nordamerika,38.763060,-90.279898
15.08.2014,In Missouri wächst die Wut,Die Stimmung in der Stadt Ferguson im US-Bundesstaat Missouri bleibt nach den tödlichen Schüssen auf Michael Brown angespannt. Die Ungleichheit zwischen Schwarz und Weiß ist erneut auf tragische Weise deutlich geworden.,http://www.dw.de/in-missouri-w%C3%A4chst-die-wut/a-17856261,"http://www.dw.de/image/0,,17853479_303,00.jpg",Krise,Nordamerika,38.763060,-90.279898
18.08.2014,"Machar: ""Ich weiß nicht, wann es Frieden gibt""","Der südsudanesische Rebellenführer Riek Machar spricht in DW-Interview über die Chancen auf Frieden, die Wurzeln des Konflikts und die Forderung nach einem Waffenembargo.",http://www.dw.de/machar-ich-wei%C3%9F-nicht-wann-es-frieden-gibt/a-17854312,"http://www.dw.de/image/0,,17618355_303,00.jpg",Krise,Afrika,7.963092,30.158930
17.08.2014,Goldener EM-Abschluss für Deutschland,"Christina Schwanitz gewinnt bei der Leichtathletik-EM in Zürich Gold im Kugelstoßen. Auch Antje Möldner-Schmidt sichert sich Platz eins, sie holt Gold über 3000 Meter Hindernis. Freude gibt es auch über deutsches Silber.",http://www.dw.de/goldener-em-abschluss-f%C3%BCr-deutschland/a-17859512,"http://www.dw.de/image/0,,17859517_303,00.jpg",Sport,Europa,47.382753,8.503808
17.08.2014,Papst ruft China und Vietnam zum Dialog auf,Papst Franziskus hat China und Vietnam zur diplomatischen Öffnung gegenüber dem Vatikan aufgerufen. Am vorletzten Tag seiner Südkorea-Reise kam er mit Bischöfen aus Asien zu einem Dialog zusammen.,http://www.dw.de/papst-ruft-china-und-vietnam-zum-dialog-auf/a-17858972,"http://www.dw.de/image/0,,17858952_303,00.jpg",Kultur,Asien,36.713639,126.544914
15.08.2014,Libysche Abgeordnete rufen UNO zur Hilfe,"Das libysche Parlament fordert die UNO auf, sich um die Sicherheit der Zivilbevölkerung in dem Krisenland zu kümmern. Allerdings sind die Handlungsoptionen des Auslands begrenzt.",http://www.dw.de/libysche-abgeordnete-rufen-uno-zur-hilfe/a-17854834,"http://www.dw.de/image/0,,17853770_303,00.jpg",Krise,Afrika,32.076111,23.961389
14.08.2014,Ebola-Seuche bedroht Versorgung in Liberia,Die Elfenbeinküste lässt Schiffe aus den von der Ebola-Epidemie betroffenen Ländern nicht mehr durch seine Gewässer fahren. Das könnte dramatische Folgen für das Nachbarland Liberia haben.,http://www.dw.de/ebola-seuche-bedroht-versorgung-in-liberia/a-17854533,"http://www.dw.de/image/0,,17844424_303,00.jpg",Krise,Afrika,6.313333,-10.801389
18.08.2014,Angriff auf Flüchtlingskonvoi in der Ostukraine,Prorussische Separatisten sollen nach Angaben der ukrainischen Armee einen Flüchtlingskonvoi in der Nähe von Luhansk beschossen und zahlreiche Zivilisten getötet haben. Die Rebellen dementieren.,http://www.dw.de/angriff-auf-fl%C3%BCchtlingskonvoi-in-der-ostukraine/a-17860647,"http://www.dw.de/image/0,,17843212_303,00.jpg",Krise,Europa,48.574041,39.307815
12.08.2014,Die argentinische Krankheit,"Die Wirtschaftskrise in Buenos Aires greift auf die Nachbarstaaten in Lateinamerika über. Die brasilianischen Exporteure, insbesondere die Autobauer, müssen drastische Einbrüche verkraften.",http://www.dw.de/die-argentinische-krankheit/a-17848091,"http://www.dw.de/image/0,,17825091_303,00.jpg",Wirtschaft,Lateinamerika,-34.603723,-58.381593
